service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A68@1,1,1,1,1,1,0,0,20230313,20230613
2685@1,1,1,1,1,1,0,0,20230313,20230613
2685@2,0,0,0,0,0,1,0,20230313,20230613
2685@3,0,0,0,0,0,0,1,20230313,20230613
2685@5,0,0,0,0,0,0,0,20230313,20230613
2681@1,1,1,1,1,1,0,0,20230313,20230613
269@1,1,1,1,1,1,0,0,20230313,20230613
2671@1,1,1,1,1,1,0,0,20230313,20230613
2671@2,0,0,0,0,0,1,0,20230313,20230613
2671@3,0,0,0,0,0,0,1,20230313,20230613
2671@5,0,0,0,0,0,0,0,20230313,20230613
A70@1,1,1,1,1,1,0,0,20230313,20230613
272@1,1,1,1,1,1,0,0,20230313,20230613
272@2,0,0,0,0,0,1,0,20230313,20230613
272@3,0,0,0,0,0,0,1,20230313,20230613
272@5,0,0,0,0,0,0,0,20230313,20230613
273@1,1,1,1,1,1,0,0,20230313,20230613
2723@1,1,1,1,1,1,0,0,20230313,20230613
A871@1,1,1,1,1,1,0,0,20230313,20230613
2725@1,1,1,1,1,1,0,0,20230313,20230613
2721@2,0,0,0,0,0,1,0,20230313,20230613
1112@1,1,1,1,1,1,0,0,20230313,20230613
A872@1,1,1,1,1,1,0,0,20230313,20230613
2731@1,1,1,1,1,1,0,0,20230313,20230613
2731@2,0,0,0,0,0,1,0,20230313,20230613
2731@3,0,0,0,0,0,0,1,20230313,20230613
2731@5,0,0,0,0,0,0,0,20230313,20230613
A874@1,1,1,1,1,1,0,0,20230313,20230613
A875@1,1,1,1,1,1,0,0,20230313,20230613
A876@1,1,1,1,1,1,0,0,20230313,20230613
R9@1,1,1,1,1,1,0,0,20230313,20230613
2722@2,0,0,0,0,0,1,0,20230313,20230613
274@1,1,1,1,1,1,0,0,20230313,20230613
274@2,0,0,0,0,0,1,0,20230313,20230613
274@3,0,0,0,0,0,0,1,20230313,20230613
274@5,0,0,0,0,0,0,0,20230313,20230613
2741@1,1,1,1,1,1,0,0,20230313,20230613
2741@2,0,0,0,0,0,1,0,20230313,20230613
2741@3,0,0,0,0,0,0,1,20230313,20230613
2741@5,0,0,0,0,0,0,0,20230313,20230613
A741@1,1,1,1,1,1,0,0,20230313,20230613
A741@2,0,0,0,0,0,1,0,20230313,20230613
2801@2,0,0,0,0,0,1,0,20230313,20230613
2801@3,0,0,0,0,0,0,1,20230313,20230613
2801@5,0,0,0,0,0,0,0,20230313,20230613
2802@1,1,1,1,1,1,0,0,20230313,20230613
281@1,1,1,1,1,1,0,0,20230313,20230613
281@2,0,0,0,0,0,1,0,20230313,20230613
2811@1,1,1,1,1,1,0,0,20230313,20230613
2811@2,0,0,0,0,0,1,0,20230313,20230613
2814@2,0,0,0,0,0,1,0,20230313,20230613
2814@3,0,0,0,0,0,0,1,20230313,20230613
2814@5,0,0,0,0,0,0,0,20230313,20230613
2813@2,0,0,0,0,0,1,0,20230313,20230613
2813@3,0,0,0,0,0,0,1,20230313,20230613
2813@5,0,0,0,0,0,0,0,20230313,20230613
2812@1,1,1,1,1,1,0,0,20230313,20230613
2812@2,0,0,0,0,0,1,0,20230313,20230613
2815@1,1,1,1,1,1,0,0,20230313,20230613
2816@2,0,0,0,0,0,1,0,20230313,20230613
