route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_time
266,266@2,266-2@2#815,,,1,,266-2,2,40
266,266@2,266-2@2#840,,,1,,266-2,2,40
266,266@2,266-2@2#905,,,1,,266-2,2,40
266,266@2,266-2@2#930,,,1,,266-2,2,40
266,266@2,266-2@2#955,,,1,,266-2,2,40
266,266@2,266-2@2#1025,,,1,,266-2,2,40
266,266@2,266-2@2#1055,,,1,,266-2,2,40
266,266@2,266-2@2#1125,,,1,,266-2,2,40
266,266@2,266-2@2#1150,,,1,,266-2,2,40
266,266@2,266-2@2#1215,,,1,,266-2,2,40
266,266@2,266-2@2#1240,,,1,,266-2,2,40
266,266@2,266-2@2#1310,,,1,,266-2,2,40
266,266@2,266-2@2#1340,,,1,,266-2,2,40
266,266@2,266-2@2#1400,,,1,,266-2,2,40
266,266@2,266-2@2#1425,,,1,,266-2,2,40
266,266@2,266-2@2#1455,,,1,,266-2,2,40
266,266@2,266-2@2#1525,,,1,,266-2,2,40
266,266@2,266-2@2#1555,,,1,,266-2,2,40
266,266@2,266-2@2#1620,,,1,,266-2,2,40
266,266@2,266-2@2#1645,,,1,,266-2,2,40
266,266@2,266-2@2#1710,,,1,,266-2,2,40
266,266@2,266-2@2#1735,,,1,,266-2,2,40
266,266@2,266-2@2#1800,,,1,,266-2,2,40
266,266@2,266-2@2#1825,,,1,,266-2,2,40
266,266@2,266-2@2#1855,,,1,,266-2,2,40
266,266@2,266-2@2#1930,,,1,,266-2,2,40
266,266@2,266-2@2#2010,,,1,,266-2,2,40
266,266@2,266-2@2#2105,,,1,,266-2,2,40
266,266@2,266-2@2#2210,,,1,,266-2,2,40
266,266@3,266-2@3#700,,,1,,266-2,2,40
266,266@3,266-2@3#730,,,1,,266-2,2,40
266,266@3,266-2@3#800,,,1,,266-2,2,40
266,266@3,266-2@3#830,,,1,,266-2,2,40
266,266@3,266-2@3#900,,,1,,266-2,2,40
266,266@3,266-2@3#930,,,1,,266-2,2,40
266,266@3,266-2@3#1005,,,1,,266-2,2,40
266,266@3,266-2@3#1035,,,1,,266-2,2,40
266,266@3,266-2@3#1105,,,1,,266-2,2,40
266,266@3,266-2@3#1140,,,1,,266-2,2,40
266,266@3,266-2@3#1215,,,1,,266-2,2,40
266,266@3,266-2@3#1245,,,1,,266-2,2,40
266,266@3,266-2@3#1315,,,1,,266-2,2,40
266,266@3,266-2@3#1350,,,1,,266-2,2,40
266,266@3,266-2@3#1420,,,1,,266-2,2,40
266,266@3,266-2@3#1450,,,1,,266-2,2,40
266,266@3,266-2@3#1525,,,1,,266-2,2,40
266,266@3,266-2@3#1555,,,1,,266-2,2,40
266,266@3,266-2@3#1625,,,1,,266-2,2,40
266,266@3,266-2@3#1655,,,1,,266-2,2,40
266,266@3,266-2@3#1725,,,1,,266-2,2,40
266,266@3,266-2@3#1755,,,1,,266-2,2,40
266,266@3,266-2@3#1830,,,1,,266-2,2,40
266,266@3,266-2@3#1910,,,1,,266-2,2,40
266,266@5,266-2@5#700,,,1,,266-2,2,40
266,266@5,266-2@5#730,,,1,,266-2,2,40
266,266@5,266-2@5#800,,,1,,266-2,2,40
266,266@5,266-2@5#830,,,1,,266-2,2,40
266,266@5,266-2@5#900,,,1,,266-2,2,40
266,266@5,266-2@5#930,,,1,,266-2,2,40
266,266@5,266-2@5#1005,,,1,,266-2,2,40
266,266@5,266-2@5#1035,,,1,,266-2,2,40
266,266@5,266-2@5#1105,,,1,,266-2,2,40
266,266@5,266-2@5#1140,,,1,,266-2,2,40
266,266@5,266-2@5#1215,,,1,,266-2,2,40
266,266@5,266-2@5#1245,,,1,,266-2,2,40
266,266@5,266-2@5#1315,,,1,,266-2,2,40
266,266@5,266-2@5#1350,,,1,,266-2,2,40
266,266@5,266-2@5#1420,,,1,,266-2,2,40
266,266@5,266-2@5#1450,,,1,,266-2,2,40
266,266@5,266-2@5#1525,,,1,,266-2,2,40
266,266@5,266-2@5#1555,,,1,,266-2,2,40
266,266@5,266-2@5#1625,,,1,,266-2,2,40
